Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
De'Anthony Melton,Brooklyn Nets,PG,6-3,200,"May 28, 1998",27,Wasserman,"Thaddeus Foucher
Aaron Klevan
Joe Smith","Brooklyn Nets, Jul 8, 2024",6
Sam Merrill,Cleveland Cavaliers,SG,6-4,205,"May 15, 1996",29,Priority Sports & Entertainment,Kieran Piller,"Cleveland Cavaliers, Mar 14, 2023",4
Vasilije Micic,Phoenix Suns,PG,6-3,188,"Jan 13, 1994",31,,Igor Crespo,"Phoenix Suns, Jul 17, 2023",1
Khris Middleton,Washington Wizards,SF,6-7,222,"Aug 12, 1991",33,Excel Sports Management,"Mike Lindeman
Jeff Schwartz","Washington Wizards, Jul 6, 2023",12
Mike Miles Jr.,Windy City Bulls,PG,6-2,195,"Aug 24, 2002",22,,"Mickey Miles
Mike Miller",Unrestricted Free Agent,0
Brandon Miller,Charlotte Hornets,SF,6-7,200,"Nov 22, 2002",22,,"Gregory Genske
Alan Vaynerchuck","Charlotte Hornets, Jul 2, 2023",1
Emanuel Miller,Chicago Bulls,SF,6-7,215,"Jun 19, 2000",25,Klutch Sports Group,"Mike George
Rich Paul
Shayaun Saee",Restricted Free Agent (Chicago Bulls),0
Jordan Miller,Los Angeles Clippers,SG,6-5,194,"Jan 23, 2000",25,Glushon Sports Management,Jason Glushon,"Los Angeles Clippers, Mar 1, 2025",1
Leonard Miller,Minnesota Timberwolves,PF,6-10,220,"Nov 26, 2003",21,Klutch Sports Group,"Mike George
Rich Paul
Shayaun Saee","Minnesota Timberwolves, Jul 8, 2023",1
Quincy Miller,Beirut Club,PF,6-11,210,"Nov 18, 1992",32,Slash Sports & Entertainment,Charles Misuraca,Unrestricted Free Agent,3
Seth Millner,Kauhajoki Karhu,SF,6-6,200,"Jun 29, 2000",25,Klutch Sports Group,Shayaun Saee,Unrestricted Free Agent,0
Patty Mills,Los Angeles Clippers,PG,6-2,180,"Aug 11, 1988",36,CAA Sports,Steven Heumann,"Los Angeles Clippers, Sep 5, 2024",15
Shake Milton,Los Angeles Lakers,SG,6-5,205,"Sep 26, 1996",28,CAA Sports,Drew Morrison,"Los Angeles Lakers, Jul 6, 2024",6
Justin Minaya,Portland Trail Blazers,SF,6-5,205,"Mar 26, 1999",26,Excel Sports Management,Jared Mucha,"Portland Trail Blazers, Jul 1, 2024 Two-Way",2
Riley Minix,San Antonio Spurs,SF,6-7,230,"Sep 22, 2000",24,Arete Sports Agency,"Andre Buck
Brandon Wood",Restricted Free Agent (San Antonio Spurs),0
Josh Minott,Minnesota Timberwolves,PF,6-8,205,"Nov 25, 2002",22,Verus Management,"Stephen George Boykin
Nodirbek Talipov
Aaron Turner","Minnesota Timberwolves, Jul 22, 2022",2
Judah Mintz,Delaware Blue Coats,PG,6-3,172,"Jul 10, 2003",21,Verus Management,Aaron Turner,Unrestricted Free Agent,0
Yves Missi,New Orleans Pelicans,C,6-11,235,"May 14, 2004",21,Wasserman,"Jelani Floyd
Joe Smith","New Orleans Pelicans, Jul 8, 2024",0
Ajay Mitchell,Oklahoma City Thunder,SG,6-5,190,"Jun 25, 2002",23,Life Sports Agency,"Todd Ramasar
Mike Simonetta","Oklahoma City Thunder, Feb 6, 2025",0
Akil Mitchell,Criollos de Caguas,PF,6-9,250,"Jun 26, 1992",33,Seros Partners,"Brian Jungreis
Misko Raznatovic
Sonny Xiao",Unrestricted Free Agent,0
Davion Mitchell,Miami Heat,PG,6-0,202,"Sep 5, 1998",26,Wasserman,"Josh Beauregard-Bell
Thaddeus Foucher","Miami Heat, Aug 5, 2021",3
Donovan Mitchell,Cleveland Cavaliers,PG,6-3,215,"Sep 7, 1996",28,CAA Sports,"Austin Brown
Ty Sullivan","Cleveland Cavaliers, Jul 7, 2024",7
Trhae Mitchell,Calgary Surge,SG,6-6,195,"Aug 19, 1997",27,Klutch Sports Group,Mike George,Unrestricted Free Agent,0
Evan Mobley,Cleveland Cavaliers,C,6-11,215,"Jun 18, 2001",24,Wasserman,"Thaddeus Foucher
Joe Smith","Cleveland Cavaliers, Jul 22, 2024",3
Jonathan Mogbo,Toronto Raptors,PF,6-9,225,"Oct 29, 2001",23,NEXT Sports,Austin Walton,"Toronto Raptors, Jul 4, 2024",0
Aminu Mohammed,Delaware Blue Coats,SG,6-5,210,"Dec 15, 2001",23,Summit Sports Group,Neal Rosenshein,Unrestricted Free Agent,0
Adam Mokoka,JL Bourg-en-Bresse,SG,6-5,215,"Jul 18, 1998",26,,Olivier Mazet,"Chicago Bulls, Nov 22, 2020 Two-Way",2
Iverson Molinar,U-Banca Transilvania Cluj Napoca,PG,6-3,190,"Dec 3, 1999",25,ProMondo Sports,Matt Bollero,Unrestricted Free Agent,0
Malik Monk,Sacramento Kings,PG,6-3,200,"Feb 4, 1998",27,Excel Sports Management,"Marcus Monk
Jeff Schwartz","Sacramento Kings, Jul 6, 2024",7
E.J. Montgomery,Birmingham Squadron,PF,6-10,228,"Sep 12, 1999",25,Wasserman,"Thaddeus Foucher
Darren Matsubara
Tony Ronzone",Unrestricted Free Agent,0
Moses Moody,Golden State Warriors,SG,6-5,211,"May 31, 2002",23,Klutch Sports Group,Rich Paul,"Golden State Warriors, Oct 21, 2024",3
Matt Mooney,Leones de Ponce,PG,6-3,200,"Feb 7, 1997",28,LAMF Sports,Daniel Curtin,Unrestricted Free Agent,2
Wendell Moore Jr.,Charlotte Hornets,SG,6-5,215,"Sep 18, 2001",23,Wasserman,Greg Lawrence,"Charlotte Hornets, Feb 15, 2025 Two-Way",2
Omari Moore,Niagara River Lions,SG,6-6,195,"Sep 18, 2000",24,LIFT Sports Management,"Ryan Davis
Derek Malloy
Mike Miller",Unrestricted Free Agent,0
Alex Morales,Osos de Manati,SG,6-6,180,"Nov 21, 1997",27,Seros Partners,Brian Jungreis,Unrestricted Free Agent,0
Yannis Morin,Lenovo Tenerife,FC,6-10,210,"Aug 31, 1993",31,,"Herman Manakyan
Louis Trohel",Unrestricted Free Agent,0
Markieff Morris,Los Angeles Lakers,PF,6-9,245,"Sep 2, 1989",35,,Yony Noy,"Los Angeles Lakers, Sep 9, 2024",13
Monte Morris,Phoenix Suns,PG,6-2,183,"Jun 27, 1995",30,Priority Sports & Entertainment,Andy Shiffman,"Phoenix Suns, Jul 3, 2024",7
Johnathan Motley,Hapoel Tel Aviv,PF,6-10,230,"May 4, 1995",30,Equity Basketball,Mike Silverman,"Los Angeles Clippers, Jul 24, 2019 Two-Way",3
Emmanuel Mudiay,Piratas de Quebradillas,PG,6-5,200,"Mar 5, 1996",29,Wasserman,Tony Ronzone,Unrestricted Free Agent,6
Shabazz Muhammad,Trotamundos,SF,6-6,222,"Nov 13, 1992",32,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,5
Trey Murphy III,New Orleans Pelicans,PF,6-8,206,"Jun 18, 2000",25,Excel Sports Management,Sean Kennedy,"New Orleans Pelicans, Oct 21, 2024",3
Grayson Murphy,South Bay Lakers,PG,6-2,189,"Feb 4, 1999",26,,Jeff Potter,Unrestricted Free Agent,0
Jordan Murphy,Leones de Ponce,F-G,6-6,250,"Feb 28, 1997",28,Seros Partners,Brian Jungreis,Unrestricted Free Agent,0
Dejounte Murray,New Orleans Pelicans,PG/SG,6-4,180,"Sep 19, 1996",28,Klutch Sports Group,Rich Paul,"New Orleans Pelicans, Jul 9, 2023",8
Jamal Murray,Denver Nuggets,SG,6-4,215,"Feb 23, 1997",28,Klutch Sports Group,"Mike George
Jeff Schwartz","Denver Nuggets, Sep 11, 2024",8
Keegan Murray,Sacramento Kings,PF,6-8,225,"Aug 19, 2000",24,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Sacramento Kings, Jul 2, 2022",2
Kris Murray,Portland Trail Blazers,PF,6-8,216,"Aug 19, 2000",24,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Portland Trail Blazers, Jul 1, 2023",1
Nick Muszynski,Wellington Saints,C,6-11,245,"Nov 19, 1998",26,,Adam Papas,Unrestricted Free Agent,0
Svi Mykhailiuk,Utah Jazz,G-F,6-7,205,"Jun 10, 1997",28,Sports International Group Inc.,Michael (Boris) Lelchitski,"Utah Jazz, Aug 10, 2024",6
Larry Nance Jr.,Atlanta Hawks,F-C,6-8,245,"Jan 1, 1993",32,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Atlanta Hawks, Oct 3, 2022",9
Pete Nance,Milwaukee Bucks,PF,6-10,225,"Feb 19, 2000",25,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Milwaukee Bucks, Feb 27, 2025 Two-Way",1
Jameer Nelson Jr.,Calgary Surge,PG,6-1,190,"Aug 7, 2001",23,,Bryan Mountain,Unrestricted Free Agent,0
Andrew Nembhard,Indiana Pacers,G-F,6-4,191,"Jan 16, 2000",25,,"Jaafar Choufani
Todd Ramasar","Indiana Pacers, Jul 26, 2024",2
Aaron Nesmith,Indiana Pacers,G-F,6-6,215,"Oct 16, 1999",25,Excel Sports Management,Mike Lindeman,"Indiana Pacers, Oct 23, 2023",4
Tristen Newton,Minnesota Timberwolves,SG,6-5,190,"Apr 26, 2001",24,Verus Management,Aaron Turner,Restricted Free Agent (Minnesota Timberwolves),0
Georges Niang,Atlanta Hawks,SF,6-7,230,"Jun 17, 1993",32,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Atlanta Hawks, Jul 6, 2023",8
Joirdon Nicholas,Scarborough Shooting Stars,PF,6-9,220,"Mar 29, 1999",26,,Josh Goodwin,Unrestricted Free Agent,0
Daishen Nix,Rio Grande Valley Vipers,SG,6-4,238,"Feb 13, 2002",23,,"Faraz Khan
Aaron Turner",Unrestricted Free Agent,3
Zeke Nnaji,Denver Nuggets,F-C,6-9,240,"Jan 9, 2001",24,Pensack Sports,Adam Pensack,"Denver Nuggets, Oct 23, 2023",4
Obadiah Noel,Indiana Mad Ants,SG,6-4,185,"Jun 28, 1999",26,LAMF Sports,Daniel Curtin,Unrestricted Free Agent,0
Landers Nolley II,Homenetmen Beirut,SF,6-7,208,"Mar 5, 2000",25,Young Money APAA,Adie von Gontard,Unrestricted Free Agent,0
Miles Norris,Boston Celtics,SF,6-7,220,"Apr 15, 2000",25,Equity Basketball,"Brandon Grier
Troy Payne
Mike Silverman","Boston Celtics, Mar 4, 2025 Two-Way",1
Jaylen Nowell,Shanxi Zhongyu,SG,6-4,201,"Jul 9, 1999",25,Glushon Sports Management,"Jason Glushon
Paolo Zamorano",Unrestricted Free Agent,5
Markquis Nowell,Rio Grande Valley Vipers,PG,5-7,160,"Dec 25, 1999",25,Octagon,"Alex Saratsis
Ron Shade",Unrestricted Free Agent,1
Kendrick Nunn,Panathinaikos,PG,6-3,190,"Aug 3, 1995",29,Wasserman,"Jelani Floyd
Sead Galijasevic",Unrestricted Free Agent (Washington Wizards),5
Jusuf Nurkic,Utah Jazz,C,7-0,290,"Aug 23, 1994",30,Klutch Sports Group,Rich Paul,"Utah Jazz, Jul 6, 2022",10
David Nwaba,Sanen Neophoenix,G-F,6-5,219,"Jan 14, 1993",32,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller",Unrestricted Free Agent,6
Johnny O'Bryant,Sagesse Al Hekmeh Beirut,PF,6-9,257,"Jun 1, 1993",32,Slash Sports & Entertainment,Charles Misuraca,Unrestricted Free Agent,4
Alex O'Connell,Westchester Knicks,SG,6-6,185,"Jun 2, 1999",26,,"Derek Malloy
Mike Miller",Unrestricted Free Agent,0
Royce O'Neale,Phoenix Suns,SF,6-6,226,"Jun 5, 1993",32,Priority Sports & Entertainment,George Roussakis,"Phoenix Suns, Jul 6, 2024",7
Kevin Obanor,Long Island Nets,SG,6-8,235,"Jun 12, 1999",26,,"Torrel Harris
Dane Marrow",Unrestricted Free Agent,0
Josh Oduro,Birmingham Squadron,C,6-9,240,"Oct 14, 2000",24,Pensack Sports,Ben Pensack,Unrestricted Free Agent,0
Jahlil Okafor,Indiana Mad Ants,C-F,6-10,270,"Dec 15, 1995",29,Excel Sports Management,Sean Kennedy,Unrestricted Free Agent,6
Chuma Okeke,Cleveland Cavaliers,SF,6-7,229,"Aug 18, 1998",26,CAA Sports,"Richard Beda
Austin Brown
Steven Heumann
Dave Spahn","Cleveland Cavaliers, Apr 5, 2025",4
Josh Okogie,Charlotte Hornets,SG,6-4,213,"Sep 1, 1998",26,Klutch Sports Group,Calvin Andrews,"Charlotte Hornets, Jul 12, 2024",6
Onyeka Okongwu,Atlanta Hawks,F-C,6-10,240,"Dec 11, 2000",24,Excel Sports Management,Jordan Gertler,"Atlanta Hawks, Oct 23, 2023",4
Isaac Okoro,Cleveland Cavaliers,F-G,6-5,225,"Jan 26, 2001",24,Excel Sports Management,"Marcus Monk
Jeff Schwartz
Michael Tellem","Cleveland Cavaliers, Sep 17, 2024",4
Quincy Olivari,South Bay Lakers,PG,6-3,200,"May 27, 2001",24,Career Sports and Entertainment (CSE),Darrell Comer,Unrestricted Free Agent,0
Kelly Olynyk,New Orleans Pelicans,C/PF,6-11,240,"Apr 19, 1991",34,Excel Sports Management,Jeff Schwartz,"New Orleans Pelicans, Mar 4, 2024",11
Eugene Omoruyi,Raptors 905,SF,6-6,235,"Feb 14, 1997",28,Klutch Sports Group,"Mike George
Shayaun Saee",Unrestricted Free Agent,3
Miye Oni,Criollos de Caguas,G-F,6-5,206,"Aug 4, 1997",27,Glushon Sports Management,Jason Glushon,Unrestricted Free Agent,3
Gabe Osabuohien,Calgary Surge,PF,6-8,220,"Oct 27, 1998",26,Andy Bountogianis,"Andy Bountogianis
Damien Conner",Unrestricted Free Agent,0
Cedi Osman,Panathinaikos,SF,6-7,230,"Apr 8, 1995",30,Excel Sports Management,"Jordan Gertler
Misko Raznatovic
Jeff Schwartz",Unrestricted Free Agent,7
Daniel Oturu,Hapoel Tel Aviv,FC,6-8,240,"Sep 20, 1999",25,Network Sports International,Nikolaos Spanos,Unrestricted Free Agent,2
Kelly Oubre Jr.,Philadelphia Sixers,F-G,6-8,203,"Dec 9, 1995",29,CAA Sports,"Austin Brown
Aaron Mintz
Dave Spahn","Philadelphia Sixers, Jul 7, 2024",9
Tariq Owens,Sagesse Al Hekmeh Beirut,PF,6-10,205,"Jun 30, 1995",30,RBA Sports,"B.J. Bass
Cam Brennick","Phoenix Suns, Jan 15, 2020 Two-Way",1
Jaysean Paige,Mets de Guaynabo,PG,6-2,200,"Jul 30, 1994",30,Andy Bountogianis,Andy Bountogianis,Unrestricted Free Agent,1
George Papagiannis,Anadolu Efes,C,7-2,275,"Jul 3, 1997",27,Network Sports International,Nikolaos Spanos,Unrestricted Free Agent,2
Justin Patton,Cangrejeros de Santurce,C,7-0,241,"Jun 14, 1997",28,Seros Partners,Brian Jungreis,Unrestricted Free Agent,4
Chris Paul,San Antonio Spurs,PG,6-0,175,"May 6, 1985",40,CAA Sports,"Steven Heumann
Ty Sullivan","San Antonio Spurs, Jul 7, 2024",19
Cameron Payne,New York Knicks,PG,6-3,183,"Aug 8, 1994",30,Glushon Sports Management,Jason Glushon,"New York Knicks, Jul 15, 2024",9
Gary Payton II,Golden State Warriors,PG,6-2,195,"Dec 1, 1992",32,Goodwin Sports Management,Aaron Goodwin,"Golden State Warriors, Jul 6, 2022",8
Elfrid Payton,New Orleans Pelicans,PG,6-3,195,"Feb 22, 1994",31,Career Sports and Entertainment (CSE),Darrell Comer,"New Orleans Pelicans, Apr 11, 2025",8
Sam Peek,Motor City Cruise,SF,6-7,195,"Jun 11, 1999",26,WME Sports,Drew Gross,Unrestricted Free Agent,0
Norvel Pelle,Beirut Club,PF,6-10,216,"Feb 3, 1993",32,,Tod Seidel,Unrestricted Free Agent,3
Kleon Penn,Gigantes de Carolina,C,6-11,295,"Sep 1, 1986",38,,Jose Paris Ramirez,Unrestricted Free Agent,0
Maozinha Pereira,Memphis Hustle,PF,6-8,177,"Aug 28, 2000",24,Wasserman,Tony Ronzone,Unrestricted Free Agent,1
Reggie Perry,Gigantes de Carolina,PF,6-8,250,"Mar 21, 2000",25,Wasserman,"Thaddeus Foucher
Tony Ronzone",Unrestricted Free Agent,2
Drew Peterson,Boston Celtics,PF,6-9,205,"Nov 9, 1999",25,Equity Basketball,"Brandon Grier
Troy Payne
Mike Silverman","Boston Celtics, Jul 3, 2024 Two-Way",1
Julian Phillips,Chicago Bulls,PF,6-8,198,"Nov 5, 2003",21,CAA Sports,Dave Spahn,"Chicago Bulls, Jul 12, 2023",1
Jalen Pickett,Denver Nuggets,PG,6-2,202,"Oct 22, 1999",25,LAMF Sports,Daniel Curtin,"Denver Nuggets, Jul 6, 2023",1
Jamorko Pickett,Calgary Surge,PF,6-9,206,"Dec 24, 1997",27,UNLTD Sports Group,Derek Jackson,"Detroit Pistons, Sep 24, 2021 Two-Way",1
Nate Pierre-Louis,Saskatchewan Rattlers,SF,6-4,205,"Dec 23, 1998",26,,Keith Glass,Unrestricted Free Agent,0
Isaiah Pineiro,Cangrejeros de Santurce,SF,6-7,215,"Feb 5, 1995",30,Power Sports,Pedro Power,Unrestricted Free Agent,0
Theo Pinson,Mets de Guaynabo,G-F,6-7,212,"Nov 5, 1995",29,CAA Sports,"Steven Heumann
Ty Sullivan",Restricted Free Agent (Dallas Mavericks),5
Scotty Pippen Jr.,Memphis Grizzlies,PG,6-1,170,"Nov 10, 2000",24,Klutch Sports Group,"Rich Paul
Shayaun Saee","Memphis Grizzlies, Oct 15, 2024",2
Kavion Pippen,Maine Celtics,C,6-10,240,"Oct 15, 1996",28,,Josh Goodwin,Unrestricted Free Agent,0
Daeqwon Plowden,Atlanta Hawks,G-F,6-6,216,"Aug 29, 1998",26,One Motive Sports,"Drew Kelso
Vlad Moldoveanu","Atlanta Hawks, Dec 27, 2024 Two-Way",0
Mason Plumlee,Phoenix Suns,PF,6-10,254,"Mar 5, 1990",35,Priority Sports & Entertainment,"Mark Bartelstein
Zach Kurtin","Phoenix Suns, Jul 3, 2024",11
Brandin Podziemski,Golden State Warriors,SG,6-4,205,"Feb 25, 2003",22,WME Sports,"Bill Duffy
David Mondress","Golden State Warriors, Jul 3, 2023",1
Jakob Poeltl,Toronto Raptors,C,7-0,260,"Oct 15, 1995",29,Excel Sports Management,"Sam Goldfeder
Michael Tellem","Toronto Raptors, Jul 6, 2023",8
Tyler Polley,Sioux Falls Skyforce,PF,6-9,215,"Apr 7, 1999",26,,Evernard Billy Davis,Unrestricted Free Agent,0
Jordan Poole,Washington Wizards,SG,6-4,194,"Jun 19, 1999",26,CAA Sports,"Austin Brown
Drew Morrison","Washington Wizards, Oct 15, 2022",5
Craig Porter Jr.,Cleveland Cavaliers,PG,6-1,180,"Feb 26, 2000",25,,Ryan Straining,"Cleveland Cavaliers, Feb 14, 2024",1
Kevin Porter Jr.,Milwaukee Bucks,G-F,6-4,203,"May 4, 2000",25,Roc Nation Sports,Sam Permut,"Milwaukee Bucks, Jul 10, 2024",4
Michael Porter Jr.,Denver Nuggets,PF,6-10,218,"Jun 29, 1998",27,Priority Sports & Entertainment,Mark Bartelstein,"Denver Nuggets, Sep 29, 2021",6
Bobby Portis,Milwaukee Bucks,PF,6-10,250,"Feb 10, 1995",30,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Milwaukee Bucks, Jul 6, 2022",9
Kristaps Porzingis,Boston Celtics,F-C,7-2,240,"Aug 2, 1995",29,Excel Sports Management,"Janis Porzingis
Jeff Schwartz","Boston Celtics, Jul 12, 2023",9
Quinten Post,Golden State Warriors,C,7-0,238,"Mar 21, 2000",25,Priority Sports & Entertainment,George Roussakis,"Golden State Warriors, Feb 7, 2025",0
Micah Potter,Utah Jazz,C,6-9,248,"Apr 6, 1998",27,AMR Agency,Aaron Reilly,"Utah Jazz, Aug 6, 2024 Two-Way",3
Dwight Powell,Dallas Mavericks,F-C,6-10,240,"Jul 20, 1991",33,Klutch Sports Group,"Mike George
Jeff Schwartz","Dallas Mavericks, Jul 9, 2023",10
Norman Powell,Los Angeles Clippers,SG,6-4,215,"May 25, 1993",32,Wasserman,Thaddeus Foucher,"Los Angeles Clippers, Aug 6, 2021",9
Casey Prather,Brisbane,SF,6-6,208,"May 29, 1991",34,Career Sports and Entertainment (CSE),"Darrell Comer
Matt Ramker
Andrew Vye",Unrestricted Free Agent,0
Billy Preston,Zonkeys de Tijuana,PF,6-10,230,"Oct 26, 1997",27,,Dean Hadley,Unrestricted Free Agent,0
Taurean Prince,Milwaukee Bucks,SF/PF,6-6,218,"Mar 22, 1994",31,Klutch Sports Group,Rich Paul,"Milwaukee Bucks, Jul 9, 2024",8
Payton Pritchard,Boston Celtics,PG,6-1,195,"Jan 28, 1998",27,CAA Sports,"Austin Brown
Mitch Nathan
Max Saidman","Boston Celtics, Oct 10, 2023",4
Olivier-Maxence Prosper,Dallas Mavericks,SF,6-7,230,"Jul 3, 2002",22,Life Sports Agency,"Todd Ramasar
Mike Simonetta","Dallas Mavericks, Jul 16, 2023",1
Zyon Pullin,Memphis Grizzlies,SG,6-4,206,"Mar 3, 2001",24,,"Greer Love Jr.
Kieran Piller","Memphis Grizzlies, Jan 10, 2025 Two-Way",0
Trevelin Queen,Orlando Magic,SG,6-5,190,"Feb 25, 1997",28,Hazan Sports Management,Daniel Hazan,"Orlando Magic, Jul 5, 2024 Two-Way",3
Neemias Queta,Boston Celtics,C,7-0,248,"Jul 13, 1999",25,WME Sports,"Bill Duffy
Rade Filipovich
Enrique Villalobos","Boston Celtics, Jul 6, 2024",3
Immanuel Quickley,Toronto Raptors,PG,6-2,190,"Jun 17, 1999",26,I AM Sports & Entertainment,Raymond Brothers,"Toronto Raptors, Jul 8, 2024",4
Lester Quinones,New Orleans Pelicans,SG,6-4,208,"Nov 16, 2000",24,Rize Management,Scott Wong Nichols,"New Orleans Pelicans, Mar 2, 2025 Two-Way",2
Jahmi'us Ramsey,Oklahoma City Blue,PG,6-3,190,"Jun 9, 2001",24,Comsport,Bouna Ndiaye,Unrestricted Free Agent,3
Chasson Randle,Stockton Kings,PG,6-2,185,"Feb 5, 1993",32,Career Sports and Entertainment (CSE),Darrell Comer,"Orlando Magic, Feb 15, 2021 Two-Way",4
Julius Randle,Minnesota Timberwolves,F-C,6-9,250,"Nov 29, 1994",30,CAA Sports,"Steven Heumann
Aaron Mintz","Minnesota Timberwolves, Aug 26, 2021",10
Duop Reath,Portland Trail Blazers,C,6-9,245,"Jun 26, 1996",29,CAA Sports,Drew Morrison,"Portland Trail Blazers, Feb 16, 2024",1
Austin Reaves,Los Angeles Lakers,SG,6-5,197,"May 29, 1998",27,AMR Agency,Aaron Reilly,"Los Angeles Lakers, Jul 6, 2023",3
Josh Reaves,Rio Grande Valley Vipers,G-F,6-4,214,"Jun 4, 1997",28,LAMF Sports,Daniel Curtin,"Dallas Mavericks, Jul 29, 2019 Two-Way",1
Davon Reed,Birmingham Squadron,SG,6-5,206,"Jun 11, 1995",30,,"Austin Eastman
E.J. Kusnyer",Restricted Free Agent (Denver Nuggets),4
Paul Reed,Detroit Pistons,PF,6-9,210,"Jun 14, 1999",26,Octagon,"Alex Saratsis
Ron Shade","Detroit Pistons, Dec 16, 2024",4
Alex Reese,Philadelphia Sixers,F-C,6-9,245,"May 21, 1999",26,,"Evernard Billy Davis
Austin Dragoo","Philadelphia Sixers, Feb 21, 2025 Two-Way",0
Antonio Reeves,New Orleans Pelicans,SG,6-5,205,"Nov 20, 2000",24,CAA Sports,Sam Rose,"New Orleans Pelicans, Jul 22, 2024",0
Naz Reid,Minnesota Timberwolves,C-F,6-9,264,"Aug 26, 1999",25,Excel Sports Management,Sean Kennedy,"Minnesota Timberwolves, Jun 27, 2023",5
Jared Rhoden,TOR (2/28/2025),SG,6-5,210,"Aug 27, 1999",25,WME Sports,Isiah Turner,"Toronto Raptors, Mar 4, 2025 Two-Way",2
Sir'Jabari Rice,South Bay Lakers,SG,6-4,180,"Dec 28, 1998",26,Klutch Sports Group,Corey Barker,Unrestricted Free Agent,1
Nick Richards,Phoenix Suns,C,7-0,245,"Nov 29, 1997",27,Excel Sports Management,"Jared Mucha
Javon Phillips
Jeff Schwartz","Phoenix Suns, Mar 22, 2023",4
Zaccharie Risacher,Atlanta Hawks,PF,6-8,200,"Apr 8, 2005",20,,Doug Neustadt,"Atlanta Hawks, Jul 6, 2024",0
Alex Robinson,Nelson Giants,PG,6-1,180,"May 20, 1995",30,Klutch Sports Group,Calvin Andrews,Unrestricted Free Agent,0
Duncan Robinson,Miami Heat,SF,6-7,215,"Apr 22, 1994",31,Glushon Sports Management,Jason Glushon,"Miami Heat, Aug 6, 2021",6
Jerome Robinson,Galatasaray,SG,6-5,190,"Feb 22, 1997",28,CAA Sports,"Austin Brown
Aaron Mintz
Michael Tellem","Golden State Warriors, Sep 28, 2023 Two-Way",4
Mitchell Robinson,New York Knicks,C-F,7-0,240,"Apr 1, 1998",27,Wasserman,"Thaddeus Foucher
Joe Smith","New York Knicks, Jul 12, 2022",6
Thomas Robinson,Piratas de Quebradillas,PF,6-10,235,"Mar 17, 1991",34,Hazan Sports Management,Daniel Hazan,Unrestricted Free Agent,5
Jeremiah Robinson-Earl,New Orleans Pelicans,PF,6-8,240,"Nov 3, 2000",24,Wasserman,Greg Lawrence,"New Orleans Pelicans, Feb 16, 2024",3
David Roddy,Houston Rockets,SF,6-4,255,"Mar 27, 2001",24,Wasserman,Josh Beauregard-Bell,"Houston Rockets, Mar 3, 2025 Two-Way",2
Angel Rodriguez,Cangrejeros de Santurce,PG,5-11,181,"Dec 5, 1992",32,,"Kim Grillier
Pedro Power",Unrestricted Free Agent,0
Ryan Rollins,Milwaukee Bucks,PG,6-3,180,"Jul 3, 2002",22,Equity Basketball,"Brandon Grier
Mike Silverman","Milwaukee Bucks, Mar 4, 2025",2
Quinton Rose,Manawatu Jets,G-F,6-8,185,"Jan 26, 1998",27,,Daryl Graham,Unrestricted Free Agent,0
Jackson Rowe,Golden State Warriors,SF,6-7,210,"Jan 4, 1997",28,Andy Bountogianis,"Andy Bountogianis
Damien Conner","Golden State Warriors, Jan 28, 2025 Two-Way",0
Terry Rozier,Miami Heat,PG,6-1,190,"Mar 17, 1994",31,Verus Management,Aaron Turner,"Miami Heat, Aug 24, 2021",9
Rayan Rupert,Portland Trail Blazers,G-F,6-6,195,"May 31, 2004",21,,Jeremy Medjana,"Portland Trail Blazers, Jul 4, 2023",1
D'Angelo Russell,Brooklyn Nets,PG,6-3,193,"Feb 23, 1996",29,CAA Sports,"Austin Brown
Aaron Mintz","Brooklyn Nets, Jul 7, 2023",9
Cormac Ryan,Oklahoma City Blue,SG,6-5,195,"Oct 26, 1998",26,Priority Sports & Entertainment,"Ross Aroyo
Kieran Piller",Unrestricted Free Agent,0
Domantas Sabonis,Sacramento Kings,F-C,6-10,240,"May 3, 1996",29,Wasserman,"Greg Lawrence
Jason Ranne","Sacramento Kings, Jul 6, 2023",8
Tidjane Salaun,Charlotte Hornets,PF,6-8,207,"Aug 10, 2005",19,,"Jeremy Medjana
Bouna Ndiaye","Charlotte Hornets, Jul 3, 2024",0
Tyrese Samuel,Vancouver Bandits,PF,6-10,239,"Mar 10, 2000",25,,Elias Sbiet,Unrestricted Free Agent,0
Jermaine Samuels,Rio Grande Valley Vipers,SF,6-6,230,"Nov 13, 1998",26,WME Sports,Justin Haynes,"Houston Rockets, Aug 1, 2023 Two-Way",1
Babacar Sane,Iowa Wolves,SF,6-7,230,"Sep 19, 2003",21,LIFT Sports Management,Noah Croom,Unrestricted Free Agent,0
Gui Santos,Golden State Warriors,SF,6-6,185,"Jun 22, 2002",23,,Aylton Tesch,"Golden State Warriors, Nov 7, 2023",1
